地名,センター,燃やすごみ,プラ（容器・包装プラスチック類）,カン,ビン,ペットボトル,その他不燃物,スプレー缶類・ガスライター,有害ごみ（乾電池・蛍光灯）,【参考】古紙等集団回収,粗大ごみ（事前申込制有料）,処理困難物,家電リサイクル品目,町で収集しないもの
字円明寺小字松田（７寺門公園前）,クリーンプラザおとくに,火 金 *7,火1 火2 火3 火4 *2,火1 火3 *2,火1 火3 *2,火1 火3 *2,火1 火3 *2,火1 火3 *2,火1 火3 *2,火2 *3,月 木 *4,*5,*6,*5
字円明寺小字松田（８第３保育所前）,クリーンプラザおとくに,火 金 *7,火1 火2 火3 火4 *2,火1 火3 *2,火1 火3 *2,火1 火3 *2,火1 火3 *2,火1 火3 *2,火1 火3 *2,火2 *3,月 木 *4,*5,*6,*5
字円明寺小字一丁田※住居無し,クリーンプラザおとくに,,,,,,,,,,,,,
字円明寺小字門田※住居無し,クリーンプラザおとくに,,,,,,,,,,,,,
字円明寺小字土辺※住居無し,クリーンプラザおとくに,,,,,,,,,,,,,
字円明寺小字鎌田※住居無し,クリーンプラザおとくに,,,,,,,,,,,,,
字円明寺小字佃【阪急西側】（42円明寺会館前）,クリーンプラザおとくに,月 木 *7,火1 火2 火3 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,*3,月 木 *4,*5,*6,*5
字円明寺小字佃【阪急西側】（47大門脇交差点）,クリーンプラザおとくに,月 木 *7,火1 火2 火3 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,*3,月 木 *4,*5,*6,*5
字円明寺小字佃【阪急東側】（42円明寺会館前）,クリーンプラザおとくに,火 金 *7,火1 火2 火3 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,土2 *3,月 木 *4,*5,*6,*5
字円明寺小字佃【阪急東側】（44円明寺バス停前）,クリーンプラザおとくに,火 金 *7,火1 火2 火3 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,土2 *3,月 木 *4,*5,*6,*5
字円明寺小字山伏（42円明寺会館前）,クリーンプラザおとくに,月 木 *7,火1 火2 火3 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,土2 *3,月 木 *4,*5,*6,*5
字円明寺小字山伏（47大門脇交差点）,クリーンプラザおとくに,月 木 *7,火1 火2 火3 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,*3,月 木 *4,*5,*6,*5
字円明寺小字香田（42円明寺会館前）,クリーンプラザおとくに,月 木 *7,火1 火2 火3 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,日3 *3,月 木 *4,*5,*6,*5
字円明寺小字香田（47大門脇交差点）,クリーンプラザおとくに,月 木 *7,火1 火2 火3 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,*3,月 木 *4,*5,*6,*5
字円明寺小字大門脇（47大門脇交差点）,クリーンプラザおとくに,月 木 *7,火1 火2 火3 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,*3,月 木 *4,*5,*6,*5
字円明寺小字仏生田（47大門脇交差点）,クリーンプラザおとくに,月 木 *7,火1 火2 火3 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,*3,月 木 *4,*5,*6,*5
字円明寺小字薬師前【久保川沿い除く】（45円明教寺前）,クリーンプラザおとくに,月 木 *7,火1 火2 火3 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,*3,月 木 *4,*5,*6,*5
字円明寺小字薬師前【久保川沿い除く】（47大門脇交差点）,クリーンプラザおとくに,月 木 *7,火1 火2 火3 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,*3,月 木 *4,*5,*6,*5
字円明寺小字薬師前【久保川沿い】(20_３棟東側),クリーンプラザおとくに,火 金 *7,木1 木2 木3 木4 *2,木1 木3 *2,木1 木3 *2,木1 木3 *2,木1 木3 *2,木1 木3 *2,木1 木3 *2,*3,月 木 *4,*5,*6,*5
字円明寺小字薬師前【久保川沿い】(21_１～５棟ごみ置場),クリーンプラザおとくに,火 金 *7,木1 木2 木3 木4 *2,木1 木3 *2,木1 木3 *2,木1 木3 *2,木1 木3 *2,木1 木3 *2,木1 木3 *2,*3,月 木 *4,*5,*6,*5
字円明寺小字南谷（47大門脇交差点）,クリーンプラザおとくに,月 木 *7,火1 火2 火3 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,*3,月 木 *4,*5,*6,*5
字円明寺小字稲葉（40元岩崎公園前）,クリーンプラザおとくに,月 木 *7,火1 火2 火3 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,火2 火4 *2,*3,月 木 *4,*5,*6,*5
